Learn the French alphabet,Link: https://www.lawlessfrench.com/pronunciation/alphabet/
Complete Duolingo French Basics 1,Link: https://www.duolingo.com/skill/fr/Basics-1/
"Learn ""Aux Champs-Elysees""","Video: https://www.youtube.com/watch?v=d9V-zUlrhEE, lyrics: https://genius.com/Joe-dassin-les-champs-elysees-lyrics"
Watch Telefrancais video 1,Video: https://www.youtube.com/watch?v=6K4aTlsC8zM
Complete Duolingo French Greetings,Link: https://www.duolingo.com/skill/fr/Greetings/1
Listen to CoffeeBreak French 1,Link: https://radiolingua.com/2007/09/lesson-01-coffee-break-french/
Learn basic French verbs,Link: https://www.lawlessfrench.com/grammar/introduction-to-verbs/
